url;dominio;nome
http://www.direitoshumanos.gov.br;direitoshumanos.gov.br;SECRETARIA DE DIREITOS HUMANOS
http://www.disque100.gov.br;disque100.gov.br;MINISTERIO DA JUSTICA
http://www.dj.gov.br;dj.gov.br;SUPREMO TRIBUNAL FEDERAL
http://www.dnc.gov.br;dnc.gov.br;AGENCIA NACIONAL DO PETROLEO - DNC
http://www.dner-ce.gov.br;dner-ce.gov.br;DNER - 03. DISTRITO RODOVIAVIO FEDERAL
http://www.dner-ms.gov.br;dner-ms.gov.br;DNER - DEPT NAC. DE ESTRADAS E RODAGENS
http://www.dner.gov.br;dner.gov.br;DEPTO NACIONAL DE ESTRADAS DE RODAGEM - DNER
http://www.dner1drf.gov.br;dner1drf.gov.br;DNER / 1 DISTRITO RODOVIARIO FEDERAL
http://www.dnit.gov.br;dnit.gov.br;DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPOR
http://www.dnocs.gov.br;dnocs.gov.br;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS
http://www.dnocspb.gov.br;dnocspb.gov.br;SEGUNDO DISTRITO DE ENGENHARIA RURAL
http://www.dnpm-pe.gov.br;dnpm-pe.gov.br;4 DISTRITO DNPM - PE
http://www.dnpm.gov.br;dnpm.gov.br;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL
http://www.dnpmma.gov.br;dnpmma.gov.br;DNPM - DEPART. NACIONAL DE PRODU
